EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
2.07E-05,141.0330658,0.0224,988.6743713,0.0224,976.5542605,0.0224,977.7662715,0.0224,980.1902937,0.0224,982.6143159,0.0224,985.038338,0.0224,987.4623602
3.66E-05,142.1355133,0.0226,989.4200964,0.0226,977.2079081,0.0226,978.4291269,0.0226,980.8715646,0.0226,983.3140022,0.0226,985.7564399,0.0226,988.1988776
1.24E-05,142.3819733,0.0228,990.1548743,0.0228,977.8562283,0.0228,979.0860929,0.0228,981.5458221,0.0228,984.0055513,0.0228,986.4652805,0.0228,988.9250097
0,142.4612732,0.023,990.8788656,0.023,978.4993109,0.023,979.7372663,0.023,982.2131773,0.023,984.6890883,0.023,987.1649992,0.023,989.6409102
1.03E-05,142.9484406,0.0232,991.5922288,0.0232,979.1372429,0.0232,980.3827415,0.0232,982.8737387,0.0232,985.3647359,0.0232,987.855733,0.0232,990.3467302
8.41E-06,144.206604,0.0234,992.2951198,0.0234,979.7701097,0.0234,981.0226107,0.0234,983.5276127,0.0234,986.0326147,0.0234,988.5376168,0.0234,991.0426188
0,145.4675293,0.0236,992.9876924,0.0236,980.3979941,0.0236,981.6569639,0.0236,984.1749036,0.0236,986.6928433,0.0236,989.2107829,0.0236,991.7287226
1.41E-05,146.5328217,0.0238,993.670098,0.0238,981.0209772,0.0238,982.2858893,0.0238,984.8157134,0.0238,987.3455376,0.0238,989.8753618,0.0238,992.4051859
8.94E-06,147.8262787,0.024,994.3424859,0.024,981.6391379,0.024,982.9094727,0.024,985.4501423,0.024,987.9908119,0.024,990.5314815,0.024,993.0721511
1.66E-05,149.0583801,0.0242,995.0050031,0.0242,982.2525532,0.0242,983.5277982,0.0242,986.0782882,0.0242,988.6287782,0.0242,991.1792682,0.0242,993.7297582
0,150.410965,0.0244,995.6577947,0.0244,982.8612984,0.0244,984.140948,0.0244,986.7002473,0.0244,989.2595465,0.0244,991.8188458,0.0244,994.378145
8.20E-06,151.8047333,0.0246,996.3010032,0.0246,983.4654468,0.0246,984.7490024,0.0246,987.3161137,0.0246,989.883225,0.0246,992.4503363,0.0246,995.0174476
0,153.084198,0.0248,996.9347694,0.0248,984.0650702,0.0248,985.3520401,0.0248,987.9259799,0.0248,990.4999198,0.0248,993.0738596,0.0248,995.6477995
0,154.4461212,0.025,997.559232,0.025,984.6602384,0.025,985.9501378,0.025,988.5299365,0.025,991.1097352,0.025,993.6895339,0.025,996.2693326
2.75E-06,155.3407593,0.0252,998.1745274,0.0252,985.2510199,0.0252,986.5433707,0.0252,989.1280722,0.0252,991.7127737,0.0252,994.2974752,0.0252,996.8821767
0,156.6881714,0.0254,998.7807904,0.0254,985.8374814,0.0254,987.1318123,0.0254,989.7204741,0.0254,992.3091359,0.0254,994.8977977,0.0254,997.4864595
3.93E-06,158.1647949,0.0256,999.3781534,0.0256,986.4196881,0.0256,987.7155347,0.0256,990.3072277,0.0256,992.8989207,0.0256,995.4906138,0.0256,998.0823068
9.57E-06,159.4849701,0.0258,999.9667471,0.0258,986.9977039,0.0258,988.2946082,0.0258,990.8884168,0.0258,993.4822255,0.0258,996.0760341,0.0258,998.6698427
